Date,Adj Close,Close,High,Low,Open,Volume,stock_name,Returns,first_diff,cumilative_returns,20_day_sma,50_day_sma
1981-02-24,0.08164619,0.106027,0.107143,0.106027,0.107143,16979200,AAPL,-0.035530686,-0.0030078143,-0.17390984,0.09376399405300617,0.10209186390042305
1981-02-25,0.08680245,0.112723,0.113281,0.112723,0.112723,19488000,AAPL,0.063153744,0.0051562637,-0.12173915,0.09260375946760177,0.10185122340917588
1981-02-26,0.08809149,0.114397,0.114955,0.114397,0.114397,10841600,AAPL,0.014850259,0.0012890399,-0.10869676,0.0916798509657383,0.10173948988318443
1981-02-27,0.0911001,0.118304,0.11942,0.118304,0.118304,14761600,AAPL,0.034153223,0.003008604,-0.07825589,0.0910997349768877,0.10182544276118279
1981-03-02,0.09152981,0.118862,0.11942,0.118862,0.118862,11760000,AAPL,0.004716873,0.00042971224,-0.07390815,0.0908204399049282,0.10187702119350434
1981-03-03,0.09024072,0.117188,0.117746,0.117188,0.117746,16172800,AAPL,-0.014083862,-0.001289092,-0.08695108,0.09075598530471325,0.10185123935341835
1981-03-04,0.08938058,0.116071,0.116629,0.116071,0.116629,13708800,AAPL,-0.009531617,-0.0008601397,-0.09565389,0.09047665111720563,0.10169653668999672
1981-03-05,0.08895089,0.115513,0.116071,0.115513,0.116071,5376000,AAPL,-0.0048074126,-0.00042968988,-0.100001454,0.09000395610928535,0.1014387083053589
1981-03-06,0.08809149,0.114397,0.115513,0.114397,0.115513,11603200,AAPL,-0.009661436,-0.00085939467,-0.10869676,0.08948829136788845,0.1010777398943901
1981-03-09,0.08121651,0.105469,0.106027,0.105469,0.106027,15321600,AAPL,-0.0780437,-0.006874986,-0.17825735,0.08860739283263683,0.10046755284070968
1981-03-10,0.07734852,0.100446,0.101004,0.100446,0.101004,28380800,AAPL,-0.0476256,-0.0038679838,-0.21739334,0.0877909105271101,0.09957373961806297
1981-03-11,0.0743407,0.09654,0.097656,0.09654,0.097656,29859200,AAPL,-0.038886607,-0.0030078217,-0.24782628,0.08682403713464737,0.09858539685606957
1981-03-12,0.07734852,0.100446,0.101004,0.100446,0.100446,59248000,AAPL,0.04045999,0.0030078217,-0.21739334,0.08615794293582439,0.09771736517548561
1981-03-13,0.07648913,0.09933,0.099888,0.09933,0.099888,231302400,AAPL,-0.011110663,-0.00085939467,-0.22608864,0.08549188748002053,0.09690089583396912
1981-03-16,0.07949773,0.103237,0.104353,0.103237,0.103237,37228800,AAPL,0.0393337,0.003008604,-0.19564784,0.08508368358016014,0.09611881583929062
1981-03-17,0.08336494,0.108259,0.109375,0.108259,0.108259,43747200,AAPL,0.048645496,0.003867209,-0.15651971,0.08476141877472401,0.0954656434059143
1981-03-18,0.088521175,0.114955,0.116071,0.114955,0.114955,36937600,AAPL,0.061851382,0.005156234,-0.104349315,0.08450356908142567,0.09501873627305031
1981-03-19,0.08766181,0.113839,0.114397,0.113839,0.114397,37811200,AAPL,-0.009707987,-0.00085936487,-0.11304426,0.08448208495974541,0.09464917421340942
1981-03-20,0.088521175,0.114955,0.116071,0.114955,0.114955,14604800,AAPL,0.009803176,0.00085936487,-0.104349256,0.0847398966550827,0.09433976724743844
1981-03-23,0.09195946,0.11942,0.120536,0.11942,0.11942,22019200,AAPL,0.038841367,0.0034382865,-0.069560945,0.08510516956448555,0.09398740708827973
1981-03-24,0.09152981,0.118862,0.11942,0.118862,0.11942,28156800,AAPL,-0.0046721697,-0.00042965263,-0.07390809,0.08559935055673122,0.09364364117383957
1981-03-25,0.08981024,0.116629,0.117746,0.116629,0.117746,7056000,AAPL,-0.018787026,-0.0017195717,-0.09130663,0.08574973978102207,0.09334282889962196
1981-03-26,0.08809149,0.114397,0.114955,0.114397,0.114955,12275200,AAPL,-0.019137502,-0.0017187446,-0.10869676,0.08574973978102207,0.09299904763698578
1981-03-27,0.0850837,0.110491,0.111049,0.110491,0.111049,12252800,AAPL,-0.034143984,-0.003007792,-0.1391294,0.08544891998171807,0.09255214110016823
